u_mag,g_mag,r_mag,i_mag,z_mag
17.664057,16.713158,16.428686,16.301043,16.254263
18.987091,17.60682,17.114624,16.86926,16.741121
17.427298,16.508661,16.233591,16.126123,16.06365
17.498281,16.220818,15.831798,15.600925,15.650212
18.406885,16.38056,15.598475,15.27202,15.11179
19.900566,17.993664,17.33713,17.088444,16.97721
18.586468,17.240946,16.786474,16.67663,16.652489
18.86394,17.825035,17.508116,17.47118,17.437796
18.500988,17.156,16.67499,16.55252,16.490866
19.31151,17.679108,17.008863,16.685272,16.55539
18.720697,17.339931,16.878702,16.715014,16.674728
18.814178,17.35982,16.804482,16.618092,16.594568
