Title,Director,Cast,Country,"Subgenre/Notes
"
Transformers: Revenge of the Fallen,Michael Bay,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson']",United States,Action thriller
Watchmen,Zack Snyder,"['Jackie Earle Haley', 'Patrick Wilson', 'Carla Gugino']",United States,Superhero
Altitude,Kaare Andrews,"['Jessica Lowndes', 'Julianna Guill', 'Ryan Donowho']",Canada,Horror
Alien vs Ninja,Seiji Chiba,"['Shuuji Kashiwabara', 'Ben Hiura']",Japan,Action
Arctic Blast,Brian Trenchard-Smith,"['Michael Shanks', 'Alan Andrews', 'Alexandra Davies']",Australia,Disaster
Batman: Under the Red Hood,Brandon Vietti,"['Bruce Greenwood', 'Jensen Ackles', 'John DiMaggio']",United States,Animated superhero film
Beyond the Black Rainbow,Panos Cosmatos,"['Michael Rogers', 'Eva Allan']",Canada,Mystery
The Book of Eli,Albert Hughes,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis']",United States,Post-apocalyptic
The Crazies,Breck Eisner,"['Timothy Olyphant', 'Radha Mitchell', 'Joe Anderson']",United States,Horror
Daybreakers,Peter Spierig,"['Ethan Hawke', 'Willem Dafoe', 'Sam Neill']",United States,Vampire
Denizen,J.A. Steel,"['J.A. Steel', 'Julie Corgill', 'Glen Jensen', 'Ben Bayless']",United States,Action horror
Despicable Me,Pierre Coffin,"['Steve Carell', ' (voice), ', 'Miranda Cosgrove', ' (voice), Dana Gaier (voice), Elsie Fisher (voice), ', 'Jemaine Clement', ' (voice), ', 'Jason Segel', ' (voice)']",United States,Family-oriented animated comedy
The Disappearance of Haruhi Suzumiya,Tatsuya Ishihara,"['Aya Hirano', ' (voice), ', 'Tomokazu Sugita', ' (voice), ', 'Minori Chihara', ' (voice), ', 'Yūko Gotō', ' (voice), ', 'Daisuke Ono', ' (voice)']",Japan,Anime
Downstream,Simone Bartesaghi,"['Jonathon Trent', 'Jono Roberts']",United States,Post-apocalyptic action
Enthiran,S. Shankar,"['Rajinikanth', 'Aishwarya Rai', ' Bachchan']",India,Robot Uprising
Future X-Cops,Wong Jing,"['Andy Lau', 'Xu Jiao', 'Barbie Hsu']",China,Time travel
Growth,Gabriel Cowan,['Mircea Monroe'],United States,Horror
Hot Tub Time Machine,Sean Anders,"['Rob Corddry', 'John Cusack']",United States,Comedy
Hunter Prey,Sandy Collora,"['Clark Bartram', 'Damion Poitier', 'Isaac C. Singleton Jr.']",United States,Thriller
Inception,Christopher Nolan,"['Leonardo DiCaprio', 'Ken Watanabe', 'Joseph Gordon-Levitt']",United Kingdom,Action thriller
Iron Man 2,Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",United States,Superhero
Justice League: Crisis on Two Earths,Lauren Montgomery,"['William Baldwin', 'Mark Harmon', 'Chris Noth']",United States,Animated superhero film
Kaboom,Gregg Araki,"['Thomas Dekker', 'Juno Temple', 'Haley Bennett']",France,Comedy mystery
Die kommenden Tage,Lars Kraume,"['Bernadette Heerwagen', 'Johanna Wokalek', 'Daniel Brühl', 'August Diehl']",Germany,Near-future drama
Mardock Scramble: The First Compression,Susumu Kudo,[],Japan,Anime film
Megamind,Tom McGarth,"['Will Ferrell', 'Brad Pitt', 'Tina Fey', 'David Cross', 'Jonah Hill']",United States,Family-oriented action comedy
Monsters,Gareth Edwards,"['Scoot McNairy', 'Whitney Able']",United Kingdom,Romantic 
Mutant Girls Squad,Noboru Iguchi,"['Yumi Sugimoto', 'Yuko Takayama', 'Suzuka Morita']",Japan,Action
Never Let Me Go,Mark Romanek,"['Keira Knightley', 'Carey Mulligan', 'Andrew Garfield']",United Kingdom,Dystopian
Predators,Nimród Antal,"['Adrien Brody', 'Topher Grace', 'Laurence Fishburne']",United States,Horror
Repo Men,Miguel Sapochnik,"['Jude Law', 'Liev Schreiber', 'Forest Whitaker']",United States,Action thriller
Resident Evil: Afterlife,Paul W. S. Anderson,"['Milla Jovovich', 'Ali Larter', 'Spencer Locke']",Germany,Action horror
Shank,Mo Ali,"['Adam Deacon', 'Bashy', 'Kaya Scodelario']",United Kingdom,Action
Skyline,Colin Strause,"['Donald Faison', 'Eric Balfour', 'Scottie Thompson']",United States,Alien invasion
Space Battleship Yamato,Takashi Yamazaki,"['Takuya Kimura', 'Koyuki', 'Hiroyuki Ikeuchi', 'Naoto Takenaka']",Japan,Action adventure
Superman/Batman: Apocalypse,Lauren Montgomery,"['Kevin Conroy', 'Tim Daly', 'Summer Glau']",United States,Animated superhero film
